IdProducto,Producto,IdTipoProducto
42737,Epson Copyfax 2000,7
42754,Mot Asrock H110m-Hds S1151 S/Vga,8
42755,Mot Asrock A58m-Vg3+ Amd Fm2+ R2.0,8
42756,Mot Ecs Kam1-I Am1,8
42757,Mot Asrock B150m-Hds S1151 S/Vga,8
42758,Mot Asrock B85m S1150 B85m-Pro4,8
42759,Mot Asrock Fm2a88m Pro3+ Amd Fm2+,8
42760,Mot Asrock N68-Gs4 Am3+ Fx R2.0,8
42761,Mot Msi A68hm-E33 Amd Fm2+ V2,8
42762,Mot Msi B150m B150m Gaming Pro S1151,8
42763,Mot Msi H110m-Gaming S1151,8
42764,Mot Msi H110m-Pro-Vh-Plus S1151,8
42765,Mot Msi H110m-Pro-Vhl S1151 S/p,8
42766,Mot Msi Z270 Gaming M7 S1151,8
42767,Mot Msi Z270 Z270-A Pro S1151,8
42768,Mot Msi B250m Pro-Vh S1151,8
42769,Mot Supermicro C7b250-Cb-Ml S1151,8
42770,Hd 4tb W.Digital Purple Sata3 64mb,8
42771,Hd 2tb Seagate 5400 Sata 7mm Notebook,8
42772,Hd 6tb W.Digital Purple Sata3 64mb,8
42773,Hd 8tb W.Digital Purple Sata 128mb,8
42774,Hd Ssd 512gb Intel Sata3 2.5,8
42775,Hd Ssd 256gb Intel Sata3 2.5 M.2,8
42776,Hd Ssd 120gb Sandisk Sata 2.5,8
42777,Hd 2tb Seagate 5400 Sata 7mm Notebook 128mb,8
42778,Hd 3tb W.Digital Sata3 5400 64mb,8
42779,Gab Qnap Ts-431 Nas,8
42780,Hd 5tb Seagate Ext Usb 3.0 Black Backup Plus,8
42781,Hd 2tb Seagate Ext Usb 3.0 Black Backup Plus,8
42782,Hd 4tb Seagate Ext Usb 3.0 Black Backup Plus,8
42783,Hd 2tb Seagate Ext Usb 3.0 Silver Backup Plus,8
42784,Hd 1tb Seagate Ext Usb 3.0 Silver Backup Plus,8
42785,Hd 1tb Ext W.Digital Usb 3.0 Elements,8
42786,Mem Usb 64gb Kingston Data 3.1,8
42787,Mem Ddr4 4gb 2133mhz Mushkin Pc,8
42788,Mem Usb 32gb Kingston 3.0,8
42789,Mem Usb 16gb Kingston Data 3.1,8
42790,Mem Usb 64gb Kingston Data 3.1,8
42791,Mem Sd Micro 16gb Kingston Clase 10 45mb,8
42792,Mem Sd Micro 32gb Kingston Clase 10 45mb,8
42793,Mem Sd Micro 64gb Kingston Clase 10 45mb,8
42794,Mem Sd Micro 16gb Sony Clase 10,8
42795,Mem Sd Micro 32gb Sony Clase 10,8
42796,Mem Sd Micro 32gb Sandisk Clase 10,8
42797,Mem Ddr4 16gb 2400mhz Mushkin Blackline,8
42798,Mem Ddr3 8gb 1600mhz Mushkin Essentials Pc,8
42799,Mem Ddr3 8gb 1600mhz Mushkin Essentials Notebook,8
