IdVenta,IdCliente,IdProducto,Precio,Cantidad
20,667,42992,570,30
51,1230,42788,42196,2
84,993,42884,498,20
101,1043,42883,498,20
155,974,42938,2679,20
160,2689,42920,789,20
165,2823,42890,51500,2
175,2760,42951,3043,20
177,1769,42988,598,30
238,2838,42942,274900,2
279,3146,42772,6569.86,30
316,944,42840,353.32,20
332,1859,42871,560,20
397,787,42893,515,20
534,3237,42798,155628,2
545,3159,42839,35332,2
566,708,42824,584.76,20
604,2777,42911,178900,1
626,529,42892,515,30
632,1715,42924,625,20
648,3263,42984,258,20
724,3239,43038,1163,20
731,1539,42832,81884,1
806,3365,42844,1810.38,20
815,1379,42849,154200,2
831,1390,42892,515,30
886,2667,43008,389,30
891,3091,42963,2355,30
893,1092,42972,2741,20
913,1505,43021,43500,1
936,935,42764,1385.78,20
939,2876,42834,818.84,20
978,1117,43026,530,20
1010,1865,42777,2557.5,30
1041,24,42879,56000,1
1058,2798,42855,1130,20
1087,1097,42912,1654,30
1102,787,42893,515,20
1117,662,42973,12300,1
1136,1370,42995,364,20
1142,630,42998,529,30
1159,1539,43023,64300,2
1176,2457,43023,643,20
1256,3244,42798,1556.28,20
1261,1473,42775,320606,3
1314,2152,42871,560,30
1321,728,42824,584.76,20
1348,380,42918,789,30
1375,2339,42962,224100,3
1378,1123,43014,502,20
1384,1003,42992,570,20
1403,383,42961,2867,20
1410,1380,42953,362000,1
1413,1312,43017,358,20
1433,1767,43021,435,30
1455,32,42881,49800,2
1463,1337,42904,135,20
1496,2184,42936,354900,2
1513,2611,42769,303908,1
1574,1258,42865,19900,2
1575,216,42868,199,20
1578,936,42851,13700,3
1589,2709,42838,89738,2
1615,2940,42925,300,2
1661,1349,42972,2741,20
1714,870,43025,55000,3
1775,1921,42933,115400,2
1781,643,43017,35800,2
1808,207,42795,54318,2
1871,92,42828,90618,1
1969,124,42966,341500,1
1996,1721,43039,815,30
2014,2098,42771,255420,2
2023,1337,42904,13500,1
2036,2707,42763,2118.38,30
2174,683,42930,15600,1
2176,2661,42907,45600,3
2195,1590,42891,51500,2
2241,564,42990,353,20
2258,3017,43038,116300,2
2358,1473,42775,3206.06,20
2399,1109,42866,19900,1
2423,863,42863,39800,3
2469,1854,42942,2749,30
2470,319,42999,547,30
2534,1434,43034,100400,1
2644,1531,42863,39800,1
2674,3174,42858,50500,3
2693,2248,42899,199,20
2732,574,42981,52,20
2789,1213,43036,744,30
2792,1767,43021,43500,1
2833,2707,42763,211838,2
2858,2084,42972,274100,2
2879,2977,42766,701162,2
2894,2710,42765,193842,1
2900,843,42789,21802,10
2945,2318,42924,625,20
3084,2884,42836,82324,3
3086,1001,42903,26900,2
3113,120,42930,156,30
3132,918,42776,142340,1
3144,878,42762,2106.06,20
3188,573,42840,35332,2
3219,728,42824,58476,2
3244,1308,42910,1502,30
3261,246,42906,32100,2
3303,2090,42953,3620,20
3415,2789,42792,479.82,20
3432,1313,42831,36960,2
3451,277,42844,1810.38,20
3454,582,42878,560,20
3473,283,42898,515,20
3478,329,42915,176500,1
3509,81,43014,502,30
3537,1341,42965,228100,1
3586,764,42858,50500,1
3622,1163,42789,21802,1
3636,1799,42763,211838,1
3652,461,42859,610,20
3680,894,42899,199,20
3733,1292,42982,13,20
3745,970,42978,11200,1
3805,1479,42784,1748.78,20
3853,633,42770,3597.22,20
3918,2858,42945,321000,1
3953,1639,42994,57900,2
4003,1276,42785,159742,1
4041,216,42956,2093,30
4077,345,42765,193842,2
4101,1646,42831,36960,2
4170,1563,42996,518,20
4172,1117,42972,274100,2
4189,1394,42978,112,20
4220,483,42997,485,20
4341,2716,42880,56000,1
4410,1813,43012,510,20
4417,741,43009,56300,2
4448,1156,43037,1137,20
4519,1851,42783,2452.34,20
4569,1841,42877,56000,2
4593,1712,42915,1765,20
4595,2890,42930,156,20
4624,2441,42982,1300,3
4733,74,42971,276200,3
4747,1403,42818,1907.62,20
4755,3358,42756,63866,2
4794,1774,42857,542,20
4803,384,42875,56000,1
4865,1537,42932,1560000,1
4878,2890,42886,49800,3
4916,564,42964,282400,3
4927,563,43015,48300,2
4937,382,43017,35800,3
4979,1067,42780,4028.86,30
4984,2820,42856,481,20
5046,1665,42772,656986,2
5081,2996,42840,35332,3
5096,946,42867,199,20
5134,2724,42923,75300,2
5151,1664,42946,217300,3
5201,2026,43008,389,20
5239,3402,42969,383900,2
5264,908,42830,48642,2
5266,1432,42918,789,20
5270,2645,42831,36960,1
5280,3241,42785,1597.42,20
5298,1632,42967,3365,30
5318,698,42925,300,3
5338,2112,42776,1423.4,20
5346,421,42788,421.96,20
5384,1959,42799,153604,1
5428,1679,42882,498,30
5438,917,42848,158800,2
5472,2136,42915,176500,1
5507,2026,43008,38900,1
5509,321,42966,3415,20
5537,2989,42955,2366,30
5591,212,42904,135,20
5598,2303,42956,209300,1
5616,1061,42883,498,30
5682,841,42762,2106.06,30
5728,3381,42867,199,20
5736,1361,42847,284658,1
5740,1965,42859,610,30
5750,584,42942,2749,20
5772,2887,42898,51500,1
5789,1274,42895,51500,3
5811,1339,42894,515,30
5816,1971,42988,59800,1
5873,306,42865,199,30
5930,2782,42906,321,30
5953,3348,42796,457.82,20
5958,2063,42797,484550,3
5962,1403,42818,190762,3
5987,898,42769,303908,3
6010,2629,42848,158800,2
6015,1632,42855,113000,2
6088,2723,42915,1765,30
6099,1337,42944,3686,30
6182,2071,42975,21500,2
6211,1577,42864,199,30
6221,226,42895,51500,1
6250,2973,42905,45600,2
6322,2885,42869,19900,2
6355,917,42848,158800,2
6378,1664,42946,2173,20
6379,1193,42915,176500,2
6425,2849,42983,354,20
6444,2658,43007,407,20
6451,2205,42995,36400,2
6454,327,42974,21400,2
6459,1523,42998,529,20
6504,353,43040,757,20
6521,961,43028,94200,3
6578,440,42795,54318,2
6613,2685,42867,19900,2
6660,547,42885,498,20
6678,267,42954,2554,30
6681,391,43009,56300,3
6722,2813,43027,461,20
6724,473,43037,1137,20
6835,2787,42824,584.76,30
6837,897,42884,498,30
6859,3029,42874,56000,3
6867,1192,42891,51500,2
6875,337,42913,1357,20
6887,3174,42922,74100,2
6902,578,42979,113,30
6943,2900,43041,779,30
6987,1144,42816,1254.88,20
7028,2944,42773,870364,2
7076,1861,42862,512,20
7130,466,42955,2366,20
7131,1178,42971,276200,1
7145,2781,42991,43800,3
7167,1137,42951,3043,30
7184,1535,43043,1159,20
7185,779,43030,1175,20
7196,1033,42918,789,30
7263,1676,42785,159742,1
7270,156,42872,560,20
7287,273,42828,90618,2
7295,564,42843,684.2,20
7303,1483,42860,587,20
7304,3063,42819,860.42,20
7305,75,42834,81884,3
7324,1327,42902,25800,2
7351,290,42901,19600,3
7545,1692,42821,653.62,30
7570,553,42886,498,20
7607,1003,42991,438,20
7613,424,42965,228100,1
7675,639,42819,860.42,30
7681,1513,42881,49800,1
7696,1369,42763,211838,3
7719,1860,42798,1556.28,20
7735,2981,42871,560,20
7744,17,42823,904.42,20
7762,1483,42860,587,30
7845,2807,43000,374,20
7862,1753,42964,282400,2
7863,299,42991,43800,1
7881,2813,43027,46100,3
7937,2981,43038,116300,3
7950,2966,42795,543.18,20
7976,1447,42835,81884,2
8001,3363,42884,49800,1
8008,2666,42898,515,30
8018,1731,42940,216200,10
8034,2799,42923,75300,2
8081,3021,43014,502,20
8086,1081,43004,37300,2
8091,814,42953,3620,30
8152,3142,43014,502,30
8163,1774,43017,358,20
8195,2881,42795,54318,3
8254,724,42942,274900,2
8261,455,42940,216200,3
8315,1312,42995,36400,1
8376,1984,42981,52,20
8404,1057,42985,145600,3
8440,2618,42757,178442,2
8462,680,42867,199,20
8474,2948,42820,65274,1
